src,bgc,audio,describ,title
,,users/Bingqing/Bingqing-1.wav,网师园-玩扇子的游客,Bingqing | Bingqing-1
,,users/Bingqing/Bingqing-2.wav,西园寺-投币一家人,Bingqing | Bingqing-2
users/Bingqing/Bingqing-3.jpg,users/Bingqing/Bingqing-3.jpg,users/Bingqing/Bingqing-3.wav,西园寺-香客阿姨-方言,Bingqing | Bingqing-3
users/Jiachen/Jiachen-1.jpg,users/Jiachen/Jiachen-1.jpg,users/Jiachen/Jiachen-1.wav,木瓜,Jiachen | Jiachen-1
users/Jiachen/Jiachen-2.jpg,users/Jiachen/Jiachen-2.jpg,users/Jiachen/Jiachen-2.wav,素面售卖,Jiachen | Jiachen-2
users/Jiachen/Jiachen-3.jpg,users/Jiachen/Jiachen-3.jpg,users/Jiachen/Jiachen-3.wav,蝉鸣,Jiachen | Jiachen-3
users/Chao/Chao-1.jpg,users/Chao/Chao-1.jpg,users/Chao/Chao-1.wav,夏日，空调机和蝉鸣,Chao | Chao-1
users/Chao/Chao-2.jpg,users/Chao/Chao-2.jpg,users/Chao/Chao-2.wav,殿内，虔诚拜三拜,Chao | Chao-2
users/Chao/Chao-3.jpg,users/Chao/Chao-3.jpg,users/Chao/Chao-3.wav,寺内，被遗忘的角落,Chao | Chao-3
users/Chao/Chao-4.jpg,users/Chao/Chao-4.jpg,users/Chao/Chao-4.wav,佛前，祷读经文,Chao | Chao-4
users/Chao/Chao-5.jpg,users/Chao/Chao-5.jpg,users/Chao/Chao-5.wav,园内，栖息之处,Chao | Chao-5
users/Chao/Chao-6.jpg,users/Chao/Chao-6.jpg,users/Chao/Chao-6.wav,丛边，众人围观哈基米,Chao | Chao-6
users/Chao/Chao-7.jpg,users/Chao/Chao-7.jpg,users/Chao/Chao-7.wav,亭外，风吹鸟鸣,Chao | Chao-7
users/Xuehua/Xuehua-1.jpg,users/Xuehua/Xuehua-1.jpg,users/Xuehua/Xuehua-1.wav,网师园1,Xuehua | Xuehua-1
users/Xuehua/Xuehua-2.jpg,users/Xuehua/Xuehua-2.jpg,users/Xuehua/Xuehua-2.wav,网师园2,Xuehua | Xuehua-2
users/Xuehua/Xuehua-3.jpg,users/Xuehua/Xuehua-3.jpg,users/Xuehua/Xuehua-3.wav,网师园3,Xuehua | Xuehua-3
users/Xuehua/Xuehua-4.jpg,users/Xuehua/Xuehua-4.jpg,users/Xuehua/Xuehua-4.wav,西园寺1,Xuehua | Xuehua-4
users/Xuehua/Xuehua-5.jpg,users/Xuehua/Xuehua-5.jpg,users/Xuehua/Xuehua-5.wav,西园寺2,Xuehua | Xuehua-5
users/Xuehua/Xuehua-6.jpg,users/Xuehua/Xuehua-6.jpg,users/Xuehua/Xuehua-6.wav,西园寺3,Xuehua | Xuehua-6
users/Xuehua/Xuehua-7.jpg,users/Xuehua/Xuehua-7.jpg,users/Xuehua/Xuehua-7.wav,西园寺4,Xuehua | Xuehua-7
users/Xuehua/Xuehua-8.jpg,users/Xuehua/Xuehua-8.jpg,users/Xuehua/Xuehua-8.wav,西园寺5,Xuehua | Xuehua-8
users/Xuehua/Xuehua-9.jpg,users/Xuehua/Xuehua-9.jpg,users/Xuehua/Xuehua-9.wav,西园寺6,Xuehua | Xuehua-9
